   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: -17.4643, 31.6686, 36.9095, 51.6742, 2.24792, 51.723, 88.6326, 14.8135, 1.78896, 0.894481
px, py, pz, p1, m1, e, num, den, ln, y: 10.4147, -0.562985, -3.2183, 10.9152, 2.65742, 11.234, 8.01573, 14.4523, -0.58945, -0.294725
px, py, pz, p1, m1, e, num, den, ln, y: -13.2307, -33.8883, -39.4833, 53.688, 1.02121, 53.6977, 14.2144, 93.1811, -1.88029, -0.940145
px, py, pz, p1, m1, e, num, den, ln, y: 4.06032, 14.4064, 8.02273, 16.9821, 2.29789, 17.1369, 25.1596, 9.11418, 1.01541, 0.507705
px, py, pz, p1, m1, e, num, den, ln, y: -14.8336, 3.69749, -21.4536, 26.3432, 1.6575, 26.3953, 4.94171, 47.8488, -2.27033, -1.13517
px, py, pz, p1, m1, e, num, den, ln, y: -24.9135, 5.64956, 3.36793, 25.7671, 1.03943, 25.788, 29.1559, 22.4201, 0.262701, 0.131351
px, py, pz, p1, m1, e, num, den, ln, y: 17.3998, 29.4217, -111.523, 116.643, 2.49918, 116.67, 5.14754, 228.193, -3.79167, -1.89584
px, py, pz, p1, m1, e, num, den, ln, y: 6.3582, 7.61703, 5.69827, 11.4419, 0.350294, 11.4472, 17.1455, 5.74895, 1.09272, 0.546359
px, py, pz, p1, m1, e, num, den, ln, y: 16.8426, 10.9726, -59.197, 62.5169, 2.34352, 62.5608, 3.36376, 121.758, -3.58897, -1.79449
px, py, pz, p1, m1, e, num, den, ln, y: -4.69804, 8.73467, 6.18507, 11.6885, 1.04692, 11.7353, 17.9204, 5.55022, 1.1721, 0.58605
px, py, pz, p1, m1, e, num, den, ln, y: 28.4662, 3.93078, 81.8251, 86.7244, 7.89591, 87.0831, 168.908, 5.258, 3.4696, 1.7348
px, py, pz, p1, m1, e, num, den, ln, y: -14.519, -2.02463, -24.1265, 28.2309, 2.03445, 28.3042, 4.17767, 52.4306, -2.52974, -1.26487
