   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C+...
Info in <TUnixSystem::ACLiC>: creating shared library /home/bmichlin/JpsiEstimation/CMSSW_7_4_12_patch4/src/MuJetAnalysis/AnalysisRun2/scripts/JpsiAnalysis/SPS/./jpsiPlots_C.so
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 1.06306, -10.0768, 10.6484, 14.699, 3.12622, 15.0277, 25.6761, 4.37937, 1.76866, 0.884328
px, py, pz, p1, m1, e, num, den, ln, y: -5.94715, 7.51083, 4.17904, 10.4521, 3.11938, 10.9076, 15.0866, 6.72858, 0.807447, 0.403723
px, py, pz, p1, m1, e, num, den, ln, y: -2.97413, 13.5542, 0.303076, 13.88, 3.11795, 14.2259, 14.529, 13.9228, 0.0426155, 0.0213078
px, py, pz, p1, m1, e, num, den, ln, y: 2.77483, 8.07669, 19.3332, 21.1354, 3.07771, 21.3583, 40.6915, 2.02511, 3.00039, 1.5002
px, py, pz, p1, m1, e, num, den, ln, y: 8.93803, -7.23972, -0.771255, 11.5281, 3.06621, 11.9289, 11.1576, 12.7001, -0.129489, -0.0647447
px, py, pz, p1, m1, e, num, den, ln, y: 9.81709, -1.89876, -13.1088, 16.487, 3.08936, 16.774, 3.66514, 29.8828, -2.09842, -1.04921
px, py, pz, p1, m1, e, num, den, ln, y: -5.18176, -13.9582, 10.3306, 18.1219, 3.10171, 18.3854, 28.716, 8.05486, 1.27118, 0.635589
px, py, pz, p1, m1, e, num, den, ln, y: -7.67106, -2.92623, 2.49956, 8.5823, 3.09751, 9.12416, 11.6237, 6.6246, 0.562258, 0.281129
px, py, pz, p1, m1, e, num, den, ln, y: 24.7097, 12.1103, 6.88329, 28.3657, 3.11942, 28.5367, 35.42, 21.6534, 0.492114, 0.246057
px, py, pz, p1, m1, e, num, den, ln, y: -0.0898061, 16.0484, -58.6191, 60.7763, 3.14399, 60.8576, 2.23847, 119.477, -3.97733, -1.98866
px, py, pz, p1, m1, e, num, den, ln, y: -5.86469, -8.59671, 28.6478, 30.4794, 3.07973, 30.6346, 59.2824, 1.98681, 3.39578, 1.69789
px, py, pz, p1, m1, e, num, den, ln, y: -3.85258, -26.8067, 19.5464, 33.3992, 3.11707, 33.5443, 53.0908, 13.9979, 1.3331, 0.666549
px, py, pz, p1, m1, e, num, den, ln, y: 18.0443, -3.78201, -7.69171, 19.9765, 3.11484, 20.2179, 12.5262, 27.9096, -0.801148, -0.400574
px, py, pz, p1, m1, e, num, den, ln, y: -8.89052, 6.06024, -6.25338, 12.4448, 3.05262, 12.8137, 6.56033, 19.0671, -1.06692, -0.533462
px, py, pz, p1, m1, e, num, den, ln, y: -0.73129, 12.6872, 8.63343, 15.3635, 3.0797, 15.6691, 24.3025, 7.03565, 1.23959, 0.619795
px, py, pz, p1, m1, e, num, den, ln, y: 2.46594, 8.24375, 43.2503, 44.0979, 3.13602, 44.2093, 87.4595, 0.959013, 4.51303, 2.25651
px, py, pz, p1, m1, e, num, den, ln, y: 1.06462, -14.4593, 11.5858, 18.5589, 3.11212, 18.818, 30.4038, 7.23227, 1.43601, 0.718007
px, py, pz, p1, m1, e, num, den, ln, y: -17.3638, 7.21706, -8.48498, 20.6297, 3.12268, 20.8647, 12.3797, 29.3496, -0.863224, -0.431612
px, py, pz, p1, m1, e, num, den, ln, y: 8.51487, 3.65173, 8.03344, 12.2627, 3.08676, 12.6452, 20.6787, 4.61181, 1.50048, 0.750242
